SIC,Active_Count
47910 - Retail sale via mail order houses or via Internet,159077
"47990 - Other retail sale not in stores, stalls or markets",37867
"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",34887
47190 - Other retail sale in non-specialised stores,33228
47710 - Retail sale of clothing in specialised stores,24534
47789 - Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),10885
"47640 - Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",8494
"47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",8491
47290 - Other retail sale of food in specialised stores,8349
47730 - Dispensing chemist in specialised stores,7612
"47760 - Retail sale of flowers, plants, seeds, fertilizers, pet animals and pet food in specialised stores",6377
47770 - Retail sale of watches and jewellery in specialised stores,6249
47750 - Retail sale of cosmetic and toilet articles in specialised stores,5888
"47240 - Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",5120
47890 - Retail sale via stalls and markets of other goods,4921
"47530 - Retail sale of carpets, rugs, wall and floor coverings in specialised stores",4772
47421 - Retail sale of mobile telephones,4158
47782 - Retail sale by opticians,3848
47250 - Retail sale of beverages in specialised stores,3679
47650 - Retail sale of games and toys in specialised stores,3648
47220 - Retail sale of meat and meat products in specialised stores,3635
"47410 - Retail sale of computers, peripheral units and software in specialised stores",3483
47510 - Retail sale of textiles in specialised stores,3416
"47820 - Retail sale via stalls and markets of textiles, clothing and footwear",3367
47210 - Retail sale of fruit and vegetables in specialised stores,2890
"47520 - Retail sale of hardware, paints and glass in specialised stores",2681
47781 - Retail sale in commercial art galleries,2548
47540 - Retail sale of electrical household appliances in specialised stores,2413
47799 - Retail sale of other second-hand goods in stores (not incl. antiques),2295
47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c.,2290
"47810 - Retail sale via stalls and markets of food, beverages and tobacco products",2273
47610 - Retail sale of books in specialised stores,2219
47791 - Retail sale of antiques including antique books in stores,2072
47260 - Retail sale of tobacco products in specialised stores,1792
47620 - Retail sale of newspapers and stationery in specialised stores,1480
47429 - Retail sale of telecommunications equipment other than mobile telephones,1474
47300 - Retail sale of automotive fuel in specialised stores,1396
47721 - Retail sale of footwear in specialised stores,1382
"47230 - Retail sale of fish, crustaceans and molluscs in specialised stores",1052
47430 - Retail sale of audio and video equipment in specialised stores,1009
47630 - Retail sale of music and video recordings in specialised stores,994
47741 - Retail sale of hearing aids,871
47591 - Retail sale of musical instruments and scores,831
47722 - Retail sale of leather goods in specialised stores,702
