month,arimax_bau,arimax_bau_lo,arimax_bau_hi,arimax_int,arimax_int_lo,arimax_int_hi,bau_online,int_online
Feb 26,10562,6399,14725,8978,5440,12516,28.93,28.85
Mar 26,11819,5932,17706,10046,5042,15050,28.97,28.8
Apr 26,11741,4531,18951,9980,3851,16108,29.0,28.75
May 26,11179,2853,19504,9502,2426,16579,29.04,28.7
Jun 26,11443,2135,20751,9727,1815,17639,29.07,28.65
Jul 26,11923,1726,22119,10135,1468,18802,29.1,28.6
Aug 26,11723,710,22737,9965,604,19327,29.14,28.55
Sep 26,12677,903,24451,10776,768,20784,29.17,28.5
Oct 26,12834,345,25322,10909,295,21524,29.2,28.45
Nov 26,11558,0,24721,9825,0,21014,29.24,28.4
Dec 26,12332,0,26138,10483,0,22219,29.27,28.35
Jan 27,12026,0,26446,10223,0,22480,29.31,28.3
Feb 27,11324,0,26333,9627,0,22384,29.34,28.25
Mar 27,12768,0,28344,10855,0,24094,29.37,28.2
Apr 27,12642,0,28764,10747,0,24451,29.41,28.15
May 27,12083,0,28734,10272,0,24425,29.44,28.1
Jun 27,12353,0,29516,10501,0,25090,29.48,28.05
Jul 27,12829,0,30489,10906,0,25918,29.51,28.0
Aug 27,12631,0,30775,10738,0,26161,29.54,27.95
Sep 27,13584,0,32200,11548,0,27372,29.58,27.9
Oct 27,13741,0,32817,11682,0,27896,29.61,27.85
Nov 27,12465,0,31990,10597,0,27193,29.64,27.8
Dec 27,13239,0,33203,11256,0,28225,29.68,27.75
Jan 28,12933,0,33326,10995,0,28329,29.71,27.7
Feb 28,12231,0,33045,10399,0,28090,29.75,27.65
Mar 28,13676,0,34901,11627,0,29669,29.78,27.6
Apr 28,13549,0,35179,11520,0,29905,29.81,27.55
May 28,12990,0,35017,11044,0,29767,29.85,27.5
Jun 28,13260,0,35677,11273,0,30328,29.88,27.45
Jul 28,13736,0,36536,11678,0,31058,29.92,27.4
Aug 28,13538,0,36715,11510,0,31210,29.95,27.35
Sep 28,14491,0,38039,12320,0,32336,29.98,27.3
Oct 28,14648,0,38561,12454,0,32780,30.02,27.25
Nov 28,13372,0,37645,11369,0,32001,30.05,27.2
Dec 28,14146,0,38773,12028,0,32961,30.08,27.15
Jan 29,13840,0,38816,11767,0,32997,30.12,27.1
Feb 29,13138,0,38459,11171,0,32694,30.15,27.05
Mar 29,14583,0,40243,12399,0,34210,30.19,27.0
Apr 29,14456,0,40453,12292,0,34388,30.22,26.95
May 29,13897,0,40224,11816,0,34194,30.25,26.9
Jun 29,14167,0,40821,12046,0,34702,30.29,26.85
Jul 29,14643,0,41620,12450,0,35381,30.32,26.8
Aug 29,14445,0,41742,12282,0,35484,30.35,26.75
Sep 29,15398,0,43010,13092,0,36563,30.39,26.7
Oct 29,15555,0,43479,13226,0,36962,30.42,26.65
Nov 29,14279,0,42512,12142,0,36140,30.46,26.6
Dec 29,15053,0,43592,12800,0,37057,30.49,26.55
Jan 30,14747,0,43587,12540,0,37054,30.52,26.5
