year_month,dissolution_count
2015-01,1004
2015-02,1304
2015-03,1370
2015-04,835
2015-05,1330
2015-06,1338
2015-07,1129
2015-08,1394
2015-09,1558
2015-10,1149
2015-11,1338
2015-12,1303
2016-01,2143
2016-02,1561
2016-03,2054
2016-04,995
2016-05,956
2016-06,1505
2016-07,1525
2016-08,1723
2016-09,408
2016-10,909
2016-11,820
2016-12,1633
2017-01,1706
2017-02,1342
2017-03,1396
2017-04,521
2017-05,1900
2017-06,647
2017-07,1572
2017-08,2039
2017-09,1769
2017-10,694
2017-11,1455
2017-12,629
2018-01,3608
2018-02,2568
2018-03,2173
2018-04,2660
2018-05,579
2018-06,2746
2018-07,2552
2018-08,2832
2018-09,2750
2018-10,3166
2018-11,1012
2018-12,1820
2019-01,3699
2019-02,2509
2019-03,2389
2019-04,4809
2019-05,3321
2019-06,933
2019-07,3715
2019-08,1558
2019-09,3525
2019-10,4181
2019-11,3483
2019-12,2924
2020-01,4080
2020-02,4574
2020-03,4447
2020-04,972
2020-05,87
2020-06,71
2020-07,111
2020-08,126
2020-09,6248
2020-10,8773
2020-11,4482
2020-12,2371
2021-01,7532
2021-02,167
2021-03,9340
2021-04,3459
2021-05,2979
2021-06,5022
2021-07,5231
2021-08,4271
2021-09,7698
2021-10,5860
2021-11,7797
2021-12,5359
2022-01,6794
2022-02,7032
2022-03,7378
2022-04,6716
2022-05,7138
2022-06,7897
2022-07,7290
2022-08,8838
2022-09,7264
2022-10,8558
2022-11,1978
2022-12,9113
2023-01,1174
2023-02,5397
2023-03,7008
2023-04,8073
2023-05,9323
2023-06,11020
2023-07,8273
2023-08,10497
2023-09,8753
2023-10,9632
2023-11,9228
2023-12,9231
2024-01,11279
2024-02,9395
2024-03,9956
2024-04,11329
2024-05,9313
2024-06,9390
2024-07,11955
2024-08,9880
2024-09,11133
2024-10,13483
2024-11,10202
2024-12,14910
2025-01,4977
2025-02,5000
2025-03,8007
2025-04,14460
2025-05,11480
2025-06,10879
2025-07,13330
2025-08,11352
2025-09,13870
2025-10,10287
2025-11,10772
2025-12,11914
2026-01,10781
